Trial,Generation,SAE
1,0,14.16385161
1,1,13.70623897
1,2,12.75766892
1,3,12.39712505
1,4,12.17506804
1,5,11.64754227
1,6,11.44842826
1,7,11.44628082
1,8,11.35489053
1,9,11.24896273
1,10,11.24896273
1,11,11.24896273
1,12,11.18080805
1,13,11.12103935
1,14,11.12103935
1,15,11.12103935
1,16,11.00440957
1,17,11.00440957
1,18,11.00440957
1,19,10.92209586
1,20,10.76930332
1,21,10.76930332
1,22,10.76930332
1,23,10.76930332
1,24,10.76930332
1,25,10.76930332
1,26,10.7417214
1,27,10.73460273
1,28,10.67762718
1,29,10.65581493
1,30,10.65581493
1,31,10.57913809
1,32,10.57913809
1,33,10.57913809
1,34,10.57913809
1,35,10.57913809
1,36,10.57913809
1,37,10.57913809
1,38,10.57913809
1,39,10.57913809
1,40,10.57913809
1,41,10.57913809
1,42,10.57913809
1,43,10.57913809
1,44,10.57913809
1,45,10.57913809
1,46,10.57913809
1,47,10.57913809
2,0,12.80904605
2,1,12.64823439
2,2,11.9295475
2,3,11.88338491
2,4,11.88338491
2,5,11.75208341
2,6,11.75208341
2,7,11.68429523
2,8,11.36637127
2,9,11.36637127
2,10,11.30851999
2,11,11.09372054
2,12,11.09372054
2,13,11.09372054
2,14,10.9924803
2,15,10.87232123
2,16,10.87232123
2,17,10.87232123
2,18,10.83283399
2,19,10.83283399
2,20,10.83283399
2,21,10.83283399
2,22,10.83283399
2,23,10.83283399
2,24,10.73756912
2,25,10.73756912
2,26,10.73756912
2,27,10.73756912
2,28,10.73756912
2,29,10.73756912
2,30,10.73756912
2,31,10.73756912
2,32,10.73756912
2,33,10.73756912
2,34,10.73756912
2,35,10.73756912
2,36,10.73756912
2,37,10.73756912
2,38,10.73756912
2,39,10.73756912
2,40,10.73756912
2,41,10.73756912
2,42,10.73756912
2,43,10.73756912
2,44,10.73756912
2,45,10.73756912
2,46,10.73756912
2,47,10.73756912
3,0,14.06221738
3,1,13.55652752
3,2,13.27247363
3,3,12.92765763
3,4,12.64469685
3,5,12.04529186
3,6,11.4114809
3,7,11.40101476
3,8,11.12350514
3,9,11.12350514
3,10,10.80778778
3,11,10.80778778
3,12,10.80778778
3,13,10.80778778
3,14,10.69442243
3,15,10.69442243
3,16,10.69442243
3,17,10.51532931
3,18,10.51532931
3,19,10.51532931
3,20,10.41527077
3,21,10.36431781
3,22,10.36431781
3,23,10.36431781
3,24,10.3026933
3,25,10.28259193
3,26,10.28259193
3,27,10.28259193
3,28,10.28259193
3,29,10.28259193
3,30,10.2474083
3,31,10.16398372
3,32,10.16398372
3,33,10.16398372
3,34,10.16398372
3,35,10.16398372
3,36,10.13703123
3,37,10.13703123
3,38,10.13703123
3,39,10.13703123
3,40,10.13703123
3,41,10.1251879
3,42,10.1251879
3,43,10.1251879
3,44,10.1251879
3,45,10.1251879
3,46,10.1251879
3,47,10.1251879
4,0,14.02182902
4,1,12.65736356
4,2,12.54163493
4,3,12.02426836
4,4,11.59095085
4,5,11.33515896
4,6,11.2405627
4,7,11.14731614
4,8,10.93189939
4,9,10.89468727
4,10,10.80428675
4,11,10.68940262
4,12,10.68940262
4,13,10.68940262
4,14,10.68940262
4,15,10.68940262
4,16,10.68940262
4,17,10.68730112
4,18,10.59841631
4,19,10.46544913
4,20,10.46544913
4,21,10.45902812
4,22,10.45902812
4,23,10.45902812
4,24,10.45902812
4,25,10.45902812
4,26,10.45902812
4,27,10.45902812
4,28,10.45902812
4,29,10.43461733
4,30,10.43461733
4,31,10.43461733
4,32,10.33736317
4,33,10.33736317
4,34,10.33736317
4,35,10.33736317
4,36,10.33736317
4,37,10.33736317
4,38,10.33736317
4,39,10.33736317
4,40,10.33736317
4,41,10.33736317
4,42,10.33736317
4,43,10.33736317
4,44,10.33736317
4,45,10.33736317
4,46,10.1935562
4,47,10.17411439
5,0,13.87405599
5,1,12.99152126
5,2,12.99152126
5,3,12.65503003
5,4,12.31715162
5,5,12.17560837
5,6,11.89207757
5,7,11.79251184
5,8,11.57304111
5,9,11.25568311
5,10,11.03520057
5,11,10.95354764
5,12,10.91140227
5,13,10.79311394
5,14,10.77539696
5,15,10.69019891
5,16,10.69019891
5,17,10.69019891
5,18,10.69019891
5,19,10.69019891
5,20,10.59160527
5,21,10.59160527
5,22,10.59160527
5,23,10.59160527
5,24,10.49403701
5,25,10.49403701
5,26,10.49403701
5,27,10.44942291
5,28,10.44942291
5,29,10.44942291
5,30,10.43773403
5,31,10.43773403
5,32,10.25773866
5,33,10.22232527
5,34,10.22232527
5,35,10.22232527
5,36,10.22232527
5,37,10.22232527
5,38,10.22232527
5,39,10.22232527
5,40,10.22232527
5,41,10.22232527
5,42,10.22232527
5,43,10.22232527
5,44,10.22232527
5,45,10.22232527
5,46,10.22232527
5,47,10.22232527
6,0,13.97796851
6,1,13.65328617
6,2,13.34245592
6,3,13.06048642
6,4,12.30629585
6,5,11.56087278
6,6,11.1714772
6,7,11.1714772
6,8,11.1714772
6,9,11.1714772
6,10,11.14129529
6,11,11.14129529
6,12,11.14129529
6,13,11.14129529
6,14,10.9248435
6,15,10.9248435
6,16,10.9248435
6,17,10.86460822
6,18,10.86460822
6,19,10.70514935
6,20,10.70514935
6,21,10.70514935
6,22,10.70514935
6,23,10.70514935
6,24,10.70514935
6,25,10.66906979
6,26,10.61109546
6,27,10.61109546
6,28,10.53013632
6,29,10.53013632
6,30,10.53013632
6,31,10.53013632
6,32,10.53013632
6,33,10.53013632
6,34,10.53013632
6,35,10.51779286
6,36,10.33389713
6,37,10.33389713
6,38,10.33389713
6,39,10.33389713
6,40,10.2364269
6,41,10.2312621
6,42,10.2312621
6,43,10.2312621
6,44,10.2312621
6,45,10.2312621
6,46,10.22113764
6,47,10.22113764
7,0,13.48610697
7,1,12.72911033
7,2,12.44960495
7,3,12.44960495
7,4,12.12481776
7,5,11.79514206
7,6,11.56130078
7,7,11.47571266
7,8,11.47571266
7,9,11.13793185
7,10,11.13793185
7,11,11.13793185
7,12,11.13793185
7,13,11.13793185
7,14,11.00797702
7,15,10.99497974
7,16,10.71675597
7,17,10.71360009
7,18,10.71360009
7,19,10.71360009
7,20,10.71360009
7,21,10.71360009
7,22,10.71360009
7,23,10.69858877
7,24,10.69179429
7,25,10.69179429
7,26,10.5814008
7,27,10.5814008
7,28,10.5814008
7,29,10.5814008
7,30,10.5814008
7,31,10.57758834
7,32,10.47509124
7,33,10.47509124
7,34,10.47509124
7,35,10.47509124
7,36,10.47509124
7,37,10.39495739
7,38,10.39495739
7,39,10.32499353
7,40,10.32499353
7,41,10.294704
7,42,10.25440846
7,43,10.25440846
7,44,10.25440846
7,45,10.25440846
7,46,10.22995616
7,47,10.22995616
8,0,13.54830821
8,1,13.54830821
8,2,12.77983709
8,3,12.77983709
8,4,12.32179531
8,5,12.05384078
8,6,11.69961363
8,7,11.69961363
8,8,11.69961363
8,9,11.45142686
8,10,11.25014437
8,11,11.10415305
8,12,11.10415305
8,13,10.86134484
8,14,10.86134484
8,15,10.86134484
8,16,10.81836396
8,17,10.81836396
8,18,10.66050793
8,19,10.66050793
8,20,10.66050793
8,21,10.66050793
8,22,10.66050793
8,23,10.65699982
8,24,10.65699982
8,25,10.65699982
8,26,10.65699982
8,27,10.65699982
8,28,10.65699982
8,29,10.61094633
8,30,10.61094633
8,31,10.51868495
8,32,10.51868495
8,33,10.51868495
8,34,10.51868495
8,35,10.51868495
8,36,10.51056787
8,37,10.51056787
8,38,10.39131432
8,39,10.32459061
8,40,10.30367145
8,41,10.30367145
8,42,10.30367145
8,43,10.30367145
8,44,10.27359235
8,45,10.27359235
8,46,10.27359235
8,47,10.27359235
