Trial,Four-day,Yearly
1,70.65333802,6239.207829
1,72.04388804,6252.16697
1,72.05493395,6148.96297
1,72.17839121,6415.951297
1,73.99183134,6469.977758
1,74.45084941,6628.302149
1,75.46289641,6791.801999
1,75.65967749,6853.189534
1,76.1482445,6838.281475
1,76.43023781,6870.158395
1,76.5311182,6921.793501
1,76.81431838,7013.805009
1,76.93430073,6853.048197
1,78.52119523,7287.539646
1,79.11202181,7165.906293
1,79.11995207,7122.18389
1,70.39050064,6214.752917
1,70.58909347,6210.677953
1,70.65333802,6239.207829
1,71.01204014,6248.949942
1,71.34349948,6228.910153
1,71.53398419,6352.492259
1,71.67569243,6306.637071
1,72.60547122,6303.565733
1,72.70583376,6476.081824
1,73.23245373,6391.964263
1,73.26056879,6370.018455
1,73.61951365,6553.47064
1,73.82686618,6491.850114
1,73.97749179,6618.8595
1,74.01631037,6662.104984
1,75.21972036,6738.479586
1,70.11139136,6139.853399
1,70.39050064,6214.752917
1,70.39267592,6186.537853
1,70.59023147,6238.695026
1,70.7861137,6251.273344
1,71.00389753,6146.175025
1,71.03380801,6277.246781
1,71.09843657,6218.191288
1,71.15676561,6398.284362
1,71.63544556,6040.563622
1,71.68078496,6201.51026
1,71.69590171,6199.49969
1,71.84488809,6400.300916
1,71.90245398,6359.589581
1,72.01270349,6457.924539
1,72.02369036,6261.300031
1,69.62252611,6099.001315
1,69.8419829,6103.876012
1,70.11139136,6139.853399
1,70.5144077,6239.609534
1,70.55931255,6235.365353
1,70.73113358,6072.336412
1,70.75710522,6291.979931
1,70.81579147,6268.842869
1,70.83854552,6132.474675
1,70.95497457,6309.972322
1,70.98118615,6182.002161
1,71.10639141,6337.20804
1,71.15073399,6319.077117
1,71.38050404,6091.316842
1,71.42947157,6319.589601
1,71.43628416,6280.987428
1,69.62252611,6099.001315
1,70.11828731,6120.799394
1,70.21296498,6184.738172
1,70.21592529,6232.661999
1,70.27347875,6110.58753
1,70.30483305,6175.923637
1,70.44977847,6304.102468
1,70.47817721,6301.427151
1,70.49286097,6285.041731
1,70.63846436,6284.365224
1,70.90039181,6210.484313
1,71.00746897,6262.812952
1,71.05051001,6244.67142
1,71.12575035,6215.476311
1,71.46183909,6244.360276
1,71.49161725,6279.864842
1,69.62252611,6099.001315
1,69.66466207,6155.207264
1,69.77156804,6047.481327
1,69.88399742,6014.27181
1,69.90406879,6152.493252
1,69.97021157,6171.420093
1,70.03642881,6128.811059
1,70.04163271,6168.065038
1,70.11606097,6165.676591
1,70.45316199,6199.352004
1,70.54319154,6176.971603
1,70.96088153,6238.012922
1,71.00347429,6237.708509
1,71.14749522,6206.931487
1,71.33129627,6382.575139
1,71.40985053,6318.911379
1,69.27005178,6113.817625
1,69.54732181,6031.232829
1,69.62252611,6099.001315
1,69.64771941,6051.675059
1,69.82440852,6059.27873
1,69.93165771,6101.899204
1,69.98814252,6181.223039
1,70.17941516,6193.822422
1,70.20343171,6195.613271
1,70.29601886,6139.012025
1,70.51141124,6213.627886
1,70.51500335,6051.640412
1,70.58437506,6291.636822
1,70.90225031,6184.037303
1,71.0686369,6219.248964
1,71.09041337,6293.326275
1,68.45885709,5881.429253
1,69.27005178,6113.817625
1,69.52440635,6036.250438
1,69.53314001,6051.738561
1,69.65786208,6015.939946
1,69.68907848,6117.489
1,69.88528361,6164.303766
1,70.1016087,6219.956245
1,70.11349855,6162.473768
1,70.12218262,6135.57841
1,70.12856672,6116.758055
1,70.34378873,6074.789543
1,70.47444446,6218.908261
1,70.56118262,6241.65121
1,70.62231659,6241.607704
1,71.18208178,6193.25969
1,68.38481922,5927.241111
1,68.45885709,5881.429253
1,68.90939477,5914.867043
1,68.96663543,5997.813043
1,69.12951763,6077.101371
1,69.30816186,5991.384857
1,69.31799183,5961.738077
1,69.50902499,6004.600145
1,69.57118227,6041.292153
1,69.6798645,6120.973154
1,69.74565831,6115.018828
1,69.77375029,6117.822526
1,69.7953787,6025.686638
1,69.87581482,6047.602624
1,69.88399009,6124.436488
1,69.97799514,6042.057008
1,68.38481922,5927.241111
1,68.44969157,5871.987657
1,68.63217404,5951.159445
1,68.67015904,5899.937082
1,68.92573277,5913.281087
1,68.95053371,6070.497069
1,69.05691147,5977.675478
1,69.08254112,6002.759787
1,69.12204335,6080.519557
1,69.28377575,5984.889496
1,69.31659157,5899.737465
1,69.43065725,6043.277395
1,69.46772341,6019.10783
1,69.5256268,6120.206822
1,69.5900196,6037.277318
1,69.71607007,5997.188218
1,68.16414338,5901.959243
1,68.38481922,5927.241111
1,68.48664246,5870.895042
1,68.62119903,5863.001583
1,68.64328771,5914.726303
1,68.65255886,5933.87652
1,68.69758521,5969.587705
1,68.95065209,5983.411707
1,68.95249324,5978.346195
1,69.0131939,5900.804614
1,69.08051089,5971.883251
1,69.10807176,5994.081332
1,69.15377777,5982.876505
1,69.27549357,5997.265585
1,69.72208926,6007.140041
1,70.14172208,6020.866358
1,68.16414338,5901.959243
1,68.23902382,5836.887891
1,68.43920854,5953.405702
1,68.47381788,5961.239003
1,68.49869367,5951.516019
1,68.52893742,5881.807208
1,68.54060595,5897.550739
1,68.59178887,5931.579306
1,68.77271117,6018.369781
1,68.79403383,5914.568751
1,68.81733662,5900.102966
1,68.82470299,5892.542555
1,69.11147594,5971.353714
1,69.40021763,6079.831605
1,69.51774575,6026.281604
1,70.0221725,6107.686261
1,67.85645398,5903.525832
1,68.01186847,5905.645337
1,68.04724865,5925.464972
1,68.14624123,5893.744996
1,68.16414338,5901.959243
1,68.34513312,5933.362448
1,68.39540139,5841.281257
1,68.45958076,5921.034127
1,68.67849099,5983.634109
1,68.74215085,5962.595087
1,68.82492939,5969.61189
1,68.8676123,5876.305965
1,69.09015012,6035.413492
1,69.14615157,5974.212439
1,69.17214111,6006.101683
1,69.18108072,5924.650928
1,67.53795821,5855.359297
1,67.59852245,5885.664398
1,67.62779999,5784.345309
1,67.68628833,5899.260454
1,67.85645398,5903.525832
1,68.00092586,5902.933544
1,68.01977938,5894.848704
1,68.08477648,5880.409209
1,68.27677409,5900.303018
1,68.27767926,5937.819018
1,68.34851599,5887.814049
1,68.36411297,5869.140516
1,68.53995116,5900.722796
1,68.55614097,5955.732463
1,68.61585751,6030.736055
1,68.8321426,5967.694482
1,67.13671582,5771.4475
1,67.32384958,5840.403884
1,67.41560655,5884.976181
1,67.44545578,5788.408048
1,67.53387908,5817.95291
1,67.53795821,5855.359297
1,67.54476467,5810.387291
1,67.62182897,5873.352104
1,67.68217558,5867.610352
1,67.92638046,5945.15298
1,67.96100595,5919.917852
1,68.25574061,5909.056334
1,68.45024403,6019.736123
1,68.5249157,6018.370431
1,68.84960043,5897.339161
1,69.03283823,6123.810332
1,67.13671582,5771.4475
1,67.26178745,5772.351008
1,67.62052098,5868.280558
1,67.66184343,5817.734499
1,67.69499693,5791.552001
1,67.72490189,5850.042666
1,67.77266895,5905.583664
1,67.92358383,5943.1222
1,67.97705573,5901.180794
1,67.97903452,5875.656968
1,68.04258765,5862.003106
1,68.05915154,5940.036194
1,68.39802047,5971.388415
1,68.52893485,5978.132739
1,68.60705901,5915.145299
1,68.66443538,5996.607452
1,67.13671582,5771.4475
1,67.3461512,5800.337019
1,67.36799346,5860.334018
1,67.47513934,5825.681171
1,67.53823784,5850.796762
1,67.56396372,5803.426613
1,67.77922952,5788.559205
1,67.80331409,5794.39761
1,67.8037688,5850.571931
1,67.85281156,5802.09779
1,67.94816549,5996.595258
1,67.99664255,5953.753718
1,68.06030025,5853.491754
1,68.1980745,5883.798007
1,68.2502547,5937.483233
1,68.78899719,5927.26819
1,66.98247192,5811.354075
1,67.01564726,5809.098925
1,67.1232201,5824.496336
1,67.13671582,5771.4475
1,67.16902253,5868.073318
1,67.2262659,5793.223226
1,67.25093015,5840.425722
1,67.30921919,5772.611617
1,67.38378206,5823.330535
1,67.39192364,5862.902542
1,67.77261302,5836.467504
1,67.77306798,5868.550244
1,68.26967291,5923.732788
1,68.31998572,5904.474113
1,68.37006117,5869.046413
1,69.00241437,6043.794131
1,66.56845809,5729.478814
1,66.66554315,5739.083887
1,66.88668737,5785.644106
1,66.95988379,5771.502474
1,66.98247192,5811.354075
1,67.04821224,5813.39186
1,67.18350346,5859.280338
1,67.23046291,5878.617773
1,67.28587096,5861.440728
1,67.36546431,5842.815953
1,67.36632112,5782.96862
1,67.41096725,5724.455729
1,67.65686504,5933.84504
1,67.73509652,5875.233482
1,67.74927369,5852.025373
1,67.82101739,5864.3208
1,66.56845809,5729.478814
1,66.82641435,5758.172817
1,66.89123101,5714.547575
1,67.00307551,5719.607608
1,67.18538042,5887.336789
1,67.2658551,5810.312889
1,67.27625054,5918.53464
1,67.41248324,5822.342673
1,67.41896849,5878.48345
1,67.49521569,5918.953056
1,67.57070733,5835.825089
1,67.67370639,5814.009381
1,67.76587464,5864.766413
1,67.7957095,5934.254364
1,67.87052067,5924.893498
1,68.32479616,5976.859454
1,66.53159304,5714.7286
1,66.56845809,5729.478814
1,66.63515559,5757.187101
1,66.94545689,5793.024136
1,67.02290465,5821.563319
1,67.07658965,5843.448189
1,67.14513383,5733.395333
1,67.19398624,5871.72254
1,67.35341603,5867.909982
1,67.4051769,5819.684984
1,67.44278109,5767.739278
1,67.47727311,5949.194111
1,67.52301262,5877.213884
1,67.69055607,5913.759149
1,67.97428792,5954.799275
1,68.10530011,6013.32855
1,66.53159304,5714.7286
1,66.77368389,5773.24025
1,66.81830534,5772.451729
1,66.83976613,5797.934167
1,66.92977843,5809.732652
1,66.94999289,5755.405195
1,67.11650776,5810.308531
1,67.21738158,5841.845439
1,67.22112272,5858.78696
1,67.24066553,5808.573128
1,67.24368921,5756.055063
1,67.28612001,5797.126409
1,67.36771308,5783.121213
1,67.39115208,5818.698812
1,68.06449988,5948.353438
1,68.10342586,5979.388867
1,66.44134989,5720.399835
1,66.53159304,5714.7286
1,66.66406077,5753.999422
1,66.70846326,5680.644252
1,66.74079147,5763.812857
1,67.02983017,5796.810691
1,67.09932877,5783.410215
1,67.12332849,5748.086212
1,67.1549515,5809.082596
1,67.15746343,5795.209319
1,67.21160554,5798.228279
1,67.23795713,5815.638553
1,67.29895945,5790.199308
1,67.30092515,5888.412083
1,67.40977728,5838.48192
1,67.53038483,5810.634347
1,66.44134989,5720.399835
1,66.50173231,5756.35377
1,66.82786632,5703.137032
1,66.93762637,5727.152292
1,66.98719558,5822.013026
1,66.99662689,5724.558517
1,67.1583453,5826.540162
1,67.17821488,5800.784887
1,67.25853838,5810.896218
1,67.26214452,5812.634861
1,67.47880458,5859.744928
1,67.56509342,5804.016587
1,67.77973526,5824.289103
1,67.95744372,5940.502787
1,67.9945458,5984.079233
1,68.0697322,5912.83174
1,66.44134989,5720.399835
1,66.74600974,5725.844574
1,66.91474853,5806.765051
1,67.06953459,5749.128248
1,67.1370493,5793.998706
1,67.18034882,5817.069627
1,67.18916007,5805.947596
1,67.30575327,5796.536849
1,67.47358645,5858.202511
1,67.47722156,5874.415121
1,67.59513893,5888.406469
1,67.60095048,5865.318414
1,67.65168283,5907.989333
1,67.82789692,5769.077706
1,67.99535614,5871.575047
1,68.1171411,5877.456907
1,66.44134989,5720.399835
1,66.5008173,5734.130867
1,66.70181459,5717.197615
1,66.72311127,5785.291128
1,67.00844031,5799.528656
1,67.02810207,5851.75756
1,67.0363262,5774.564878
1,67.12328548,5825.042404
1,67.21032843,5849.150462
1,67.32825733,5869.090209
1,67.36511749,5812.850441
1,67.55848464,5846.343689
1,67.74574489,5910.439958
1,67.76672507,5949.741748
1,67.80339292,5878.609318
1,67.84758813,5882.106794
1,66.44134989,5720.399835
1,66.5238791,5705.057938
1,66.59877848,5723.876781
1,66.63274311,5685.614141
1,66.63961668,5777.75411
1,66.67452294,5719.422184
1,66.76639918,5816.710621
1,66.96481453,5863.173294
1,67.01716755,5856.883644
1,67.11823435,5850.280106
1,67.16732524,5886.094594
1,67.18858887,5846.255288
1,67.50857967,5906.044855
1,67.53849364,5845.959737
1,67.58638797,5825.458164
1,68.07842309,5956.402844
1,66.28029206,5704.402894
1,66.44134989,5720.399835
1,66.51356254,5678.220171
1,66.58689253,5734.423239
1,66.8288973,5773.989067
1,66.9622785,5783.614727
1,66.98468479,5820.297829
1,67.10553275,5738.503623
1,67.44862601,5810.839899
1,67.47373178,5792.230021
1,67.50666701,5825.308664
1,67.56568457,5870.260016
1,67.56639455,5816.009897
1,67.76314109,5943.13157
1,67.77429139,5914.10191
1,67.84428818,5909.670361
1,65.84325867,5663.207478
1,66.28029206,5704.402894
1,66.45523323,5711.441825
1,66.56960339,5745.742312
1,66.62803811,5664.345128
1,66.63676699,5708.911763
1,66.6678437,5750.294481
1,66.79841194,5745.027749
1,66.81226313,5755.040349
1,66.82423835,5623.716148
1,66.88936931,5716.699857
1,66.93915557,5786.586417
1,66.94568928,5779.713364
1,66.99158144,5806.488317
1,67.19322136,5745.45877
1,67.19782662,5832.861867
1,65.84325867,5663.207478
